# Rådata, tur 828d8cbc-9bc8-431f-8b08-5b19b4510852 (Tom, bil, 12 NM-turen, 2026-09-11 00:47–01:06 UTC)
# Exporterad ur gps_points 2026-09-11. 1081 fixar, alla med rådata. T0 = 2026-09-11 00:47:53.534+00
# Kolumner: ms_sedan_start,raw_lat*1e6,raw_lng*1e6,enhetsfart_kn*100,kurs_grader,accuracy_m ; radskiljare ';'
# Sparat i databasen: distance 12.41 NM (summa utjämnade positioner, före beslutet 11/9), average 41.1, max 71.2, duration_seconds 1081.
# Facit mot bil: bilens Trip 2 fotades 50–110 s efter spara i 54–82 mph (16,4 mi) — ogiltigt som facit. Skärm på hela turen: 1 Hz, ingen lucka > 5 s.
241178,37076336,-86271089,3180,164,10;242177,37076200,-86271039,3070,163,10;243178,37076062,-86270985,3020,162,10;
244178,37075919,-86270928,3070,162,10;245178,37075769,-86270866,3180,162,10;246177,37075612,-86270799,3450,160,10;
247177,37075450,-86270725,3500,160,10;248178,37075282,-86270645,3720,159,10;249179,37075109,-86270557,3830,156,10;
250180,37074936,-86270457,3940,155,10;251180,37074761,-86270350,4040,153,10;252183,37074582,-86270235,4150,153,10;
253183,37074408,-86270122,4210,153,10;254185,37074231,-86270008,4260,153,10;255187,37074063,-86269899,4260,152,10;
256187,37073903,-86269794,4040,152,10;257187,37073747,-86269692,3830,152,10;258187,37073597,-86269593,3720,152,10;
259190,37073448,-86269494,3610,152,10;260189,37073297,-86269394,3610,152,10;261191,37073143,-86269292,3660,152,10;
262191,37072983,-86269185,3720,152,10;263196,37072820,-86269076,3830,152,10;264195,37072653,-86268965,3990,152,10;
265196,37072479,-86268851,4100,152,10;266194,37072304,-86268733,4210,152,10;267195,37072131,-86268617,4260,152,10;
268195,37071962,-86268503,4150,152,10;269197,37071793,-86268391,4100,152,10;270198,37071626,-86268282,4100,152,10;
271198,37071476,-86268154,3990,151,10;272200,37071332,-86268058,3830,152,10;273200,37071198,-86267967,3450,152,10;
274203,37071078,-86267886,3230,152,10;275201,37070971,-86267816,2860,152,10;276202,37070876,-86267754,2530,152,10;
277202,37070803,-86267706,2210,152,10;278203,37070758,-86267676,1670,152,10;279207,37070730,-86267658,1020,152,10;
280207,37070718,-86267650,590,152,10;281207,37070710,-86267645,210,152,10;282207,37070705,-86267642,160,152,10;
283207,37070705,-86267642,100,152,10;284210,37070705,-86267642,0,152,10;285210,37070705,-86267642,0,152,10;
286210,37070705,-86267642,0,152,10;287210,37070705,-86267641,0,152,10;288210,37070694,-86267634,0,152,10;
289212,37070660,-86267632,260,152,10;290213,37070627,-86267610,640,152,10;291214,37070596,-86267590,910,111,10;
292215,37070581,-86267559,1240,90,10;293220,37070682,-86267298,1610,60,10;294218,37070737,-86267173,1990,60,10;
295218,37070803,-86267023,2480,61,10;296219,37070879,-86266848,2960,61,10;297219,37070968,-86266659,3450,61,10;
298223,37071065,-86266455,3770,61,10;299221,37071168,-86266237,4100,61,10;300223,37071274,-86266005,4370,61,10;
301227,37071385,-86265758,4640,61,10;302223,37071500,-86265500,4850,61,10;303224,37071615,-86265239,5070,61,10;
304225,37071729,-86264982,5120,61,10;305226,37071842,-86264729,5020,61,10;306225,37071951,-86264478,4960,62,10;
307227,37072055,-86264228,4910,64,10;308227,37072153,-86263981,4800,64,10;309228,37072250,-86263733,4690,64,10;
310229,37072348,-86263478,4750,64,10;311228,37072446,-86263221,4850,64,10;312230,37072543,-86262967,4850,64,10;
313231,37072641,-86262717,4800,64,10;314234,37072736,-86262470,4750,64,10;315234,37072827,-86262223,4690,65,10;
316234,37072916,-86261971,4640,66,10;317235,37073000,-86261713,4690,68,10;318234,37073077,-86261451,4750,71,10;
319236,37073147,-86261185,4800,72,10;320237,37073213,-86260918,4800,73,10;321236,37073277,-86260651,4750,73,10;
322238,37073341,-86260385,4800,73,10;323239,37073406,-86260121,4750,73,10;324241,37073471,-86259860,4690,73,10;
325242,37073539,-86259599,4690,72,10;326241,37073612,-86259343,4690,70,10;327244,37073690,-86259091,4640,69,10;
328244,37073772,-86258837,4640,67,10;329244,37073859,-86258576,4690,66,10;330244,37073953,-86258309,4850,66,10;
331244,37074053,-86258034,5020,66,10;332245,37074156,-86257754,5180,65,10;333246,37074262,-86257467,5290,65,10;
334247,37074368,-86257177,5450,65,10;335247,37074473,-86256891,5500,65,10;336247,37074577,-86256610,5390,65,10;
337247,37074679,-86256334,5290,65,10;338247,37074780,-86256065,5180,65,10;339247,37074881,-86255797,5070,65,10;
340248,37074983,-86255525,5070,65,10;341248,37075088,-86255248,5120,65,10;342250,37075196,-86254964,5290,66,10;
343251,37075289,-86254664,5390,66,10;344251,37075398,-86254375,5500,64,10;345252,37075521,-86254100,5450,64,10;
346251,37075626,-86253820,5390,65,10;347252,37075730,-86253545,5290,65,10;348252,37075830,-86253275,5180,65,10;
349252,37075912,-86253002,5070,66,10;350254,37076008,-86252736,4960,66,10;351255,37076106,-86252465,5020,66,10;
352256,37076207,-86252189,5120,65,10;353255,37076308,-86251918,5180,65,10;354256,37076408,-86251650,5120,66,10;
355258,37076502,-86251384,5070,66,10;356259,37076595,-86251124,4960,66,10;357261,37076686,-86250870,4910,65,10;
358262,37076777,-86250621,4750,65,10;359263,37076868,-86250376,4690,65,10;360265,37076958,-86250133,4640,65,10;
361263,37077047,-86249889,4580,65,10;362264,37077136,-86249644,4580,65,10;363265,37077226,-86249398,4640,65,10;
364266,37077316,-86249152,4640,65,10;365266,37077405,-86248910,4640,65,10;366267,37077494,-86248669,4580,65,10;
367267,37077582,-86248429,4420,65,10;368269,37077669,-86248192,4580,65,10;369269,37077754,-86247963,4480,65,10;
370270,37077837,-86247737,4310,65,10;371270,37077919,-86247517,4260,65,10;372274,37077999,-86247299,4150,65,10;
373273,37078080,-86247085,4100,65,10;374275,37078160,-86246872,4040,65,10;375274,37078242,-86246655,4040,65,10;
376274,37078325,-86246437,4100,65,10;377276,37078414,-86246199,4260,65,10;378274,37078503,-86245958,4420,65,10;
379276,37078593,-86245715,4580,65,10;380277,37078687,-86245462,4690,65,10;381279,37078782,-86245208,4800,65,10;
382280,37078877,-86244958,4690,65,10;383281,37078970,-86244711,4850,65,10;384281,37079063,-86244466,4580,65,10;
385283,37079156,-86244220,4640,65,10;386283,37079252,-86243973,4690,64,10;387285,37079348,-86243725,4690,64,10;
388286,37079444,-86243477,4750,65,10;389285,37079538,-86243228,4750,65,10;390287,37079630,-86242982,4690,65,10;
391290,37079721,-86242741,4640,65,10;392289,37079811,-86242503,4580,65,10;393294,37079900,-86242268,4530,65,10;
394293,37079989,-86242035,4480,64,10;395294,37080077,-86241805,4420,64,10;396293,37080165,-86241577,4370,64,10;
397295,37080273,-86241362,4310,64,10;398295,37080360,-86241135,4310,64,10;399296,37080448,-86240907,4310,64,10;
400297,37080536,-86240681,4310,64,10;401298,37080599,-86240443,4310,64,10;402299,37080685,-86240222,4260,64,10;
403299,37080771,-86240006,4210,64,10;404300,37080856,-86239793,4150,63,10;405301,37080942,-86239578,4040,63,10;
406300,37081029,-86239362,4100,63,10;407300,37081117,-86239143,4150,63,10;408300,37081207,-86238923,4210,63,10;
409303,37081297,-86238703,4210,63,10;410304,37081387,-86238482,4260,63,10;411305,37081478,-86238261,4260,63,10;
412307,37081568,-86238043,4210,63,10;413308,37081662,-86237819,4260,63,10;414309,37081756,-86237592,4310,63,10;
415311,37081852,-86237363,4420,63,10;416311,37081948,-86237131,4420,63,10;417311,37082043,-86236902,4480,63,10;
418315,37082138,-86236673,4420,63,10;419315,37082233,-86236443,4420,63,10;420314,37082329,-86236213,4420,63,10;
421313,37082425,-86235980,4420,63,10;422313,37082524,-86235745,4530,62,10;423313,37082623,-86235510,4530,62,10;
424315,37082723,-86235271,4580,63,10;425316,37082823,-86235029,4580,63,10;426318,37082923,-86234786,4690,63,10;
427320,37083023,-86234544,4690,63,10;428320,37083124,-86234300,4690,63,10;429320,37083226,-86234056,4690,63,10;
430322,37083327,-86233813,4750,62,10;431323,37083429,-86233571,4690,62,10;432324,37083534,-86233325,4690,62,10;
433324,37083639,-86233075,4800,62,10;434323,37083745,-86232824,4850,62,10;435325,37083850,-86232573,4850,62,10;
