similarity,distance_m,a_id,a_name,a_slug,a_island,a_type,a_categories,a_google_id,a_rating,b_id,b_name,b_slug,b_island,b_type,b_categories,b_google_id,b_rating,recommended_action
0.35,93,4e2f34ca-4424-4dde-a84a-9e7df7c85bcc,Fjällbacka Gästhamn,fjallbacka-gasthamn,Fjällbacka,marina,marina|harbor_stop|historic,ChIJfQWhJsa0RUYRmi0SZ541QIk,2.5,89055939-33ca-46dd-a57c-fa12ac02f9b5,Fjällbacka Värdshus,fjallbacka-vardshus,Fjällbacka,restaurant,restaurant|historic|harbor_stop,,,"behåll A (4e2f34ca…), radera B"
0.35,32,6f922755-431c-47b8-9df5-0a80efcf49a0,Hälleviksstrand Hamn,halleviksstrand-hamn,Hälleviksstrand,harbor,gasthamn,ChIJyV45_h6dRUYRCrWORUviYeg,4.3,8220ef51-9e44-4886-a5c3-b222206f2477,Hälleviksstrands Grill & Glasscafé,halleviksstrands-grill-glasscaf,Hälleviksstrand,restaurant,hamnkrog,ChIJrS-6ZCOcRUYRfcosVT5NKYE,4.3,manuell granskning
0.34,107,54051aa8-133d-4184-8985-526472ed5e2b,Skärhamns gästhamn,skarhamns-gasthamn,Skärhamn,harbor,gasthamn,ChIJC6DbNlR4RUYRaPW2t17Qgm4,4.5,c32a890d-d09c-4bb5-adbe-fe43d63b28c7,Sommardröm Skärhamn,sommardrom-skarhamn,Skärhamn,restaurant,hamnkrog,ChIJWVOftlV4RUYRbGON1bfAIug,4.3,manuell granskning
0.33,0,05ff402d-a600-4eee-81cd-4e836975c3c5,Donsö gästhamn,donso-gasthamn,Donsö,harbor,gasthamn,,,e3d5f697-21dd-44a5-9c20-f4371d047753,Donsö Hamnkrog,donso-hamnkrog,Donsö,restaurant,hamnkrog,ChIJ_Q_7G1SST0YRNhQeaqJatFA,4.4,"behåll B (e3d5f697…), radera A"
0.33,60,05963d6d-a329-4c71-a480-79db136a0664,Ingmarsö Krog,ingmarso-krog,Ingmarsö,restaurant,restaurant|hidden_gem|harbor_stop,ChIJ7UlIoV9k9UYRoukCdxKU6ZY,4.4,cbee1acb-22a7-4df5-97fc-84b2c6b3b4ef,Ingmarsö Sommarbutik,ingmarso-sommarbutik,Ingmarsö,cafe,cafe|provisions|kiosk,ChIJtx6mDtll9UYRFMlEYDetkjE,3.8,manuell granskning
0.33,26,851c257a-de9a-473e-b616-d9bd970a5220,La Belle Vie Fjällbacka,la-belle-vie-fjallbacka,Fjällbacka,restaurant,hamnkrog,ChIJQWd-L_-1RUYReDRLaZijztA,4.6,e3dbee97-fe60-4cea-8e6e-9b70976c200f,Stora Hotellet Fjällbacka,stora-hotellet-fjallbacka,Fjällbacka,restaurant,hamnkrog,ChIJ34MMhsi0RUYR4FOiWdO0dbA,4.4,manuell granskning
0.33,136,d675ad86-ada9-4ef4-9e49-610930c48e52,Le Comptoir Marstrand,le-comptoir-marstrand,Marstrand,restaurant,hamnkrog,ChIJySJE7El9RUYRQSIAtdlwTFE,4.6,ca3d16e6-ebdd-428c-8d99-d6061f3c1649,Tenan Marstrand,tenan-marstrand,Marstrand,restaurant,hamnkrog,ChIJi-fO59R9RUYRo9TPFojqt6c,4.2,manuell granskning
0.33,0,703de073-1be8-46d4-b7f1-4330cc6bfaa2,Öckerö gästhamn,ockero-gasthamn,Öckerö,harbor,gasthamn,,,8cf32cd2-4e3d-4b2a-9fa3-9f65eb9348d3,Öckerö hamn drivmedel,ockero-hamn-drivmedel,Öckerö,fuel,bensin,ChIJWZgyaPePT0YR4qykgeQXTzI,4.5,"behåll B (8cf32cd2…), radera A"
0.33,12,c33560c8-e1d9-4ae7-8450-4a58bcd3348f,Sandhamns Bageriet,sandhamns-bageriet,Sandhamn,cafe,cafe|bakery|coffee,ChIJ68OHHwV09UYRd9rhpezNJGE,4.2,ba10124b-d115-4390-932f-5a644af4ac28,Sandhamns Vardshus,sandhamns-vardshus,Sandhamn,restaurant,restaurant|breakfast|harbor_stop,,,"behåll A (c33560c8…), radera B"
0.33,185,c33560c8-e1d9-4ae7-8450-4a58bcd3348f,Sandhamns Bageriet,sandhamns-bageriet,Sandhamn,cafe,cafe|bakery|coffee,ChIJ68OHHwV09UYRd9rhpezNJGE,4.2,913ae3cd-ef68-40de-852e-4e88775bf595,Sandhamns Värdshus,sandhamn-sandhamns-vardshus,Sandhamn,hotel,accommodation|bnb,ChIJv0shaRB09UYRnLQ3Jv5-Khs,4.4,manuell granskning
0.33,86,cc70527e-c790-4916-9661-bff5183496ff,Strömstad gästhamn drivmedel,stromstad-gasthamn-drivmedel,Strömstad,fuel,bensin,ChIJ81yYgC48REYRBwBu3uFNHt4,4.4,5bd3158a-2031-4da2-bfe2-2ff236583bbe,Strömstad Södra Hamn,stromstad-sodra-hamn,Strömstad,harbor,gasthamn,ChIJiZfO0rU9REYRA09We7yxSVk,4.9,manuell granskning
0.32,5,2ce8c642-8fe8-4dd5-ac03-1fcb19051f43,Bara Smör Fjällbacka,bara-smor-fjallbacka,Fjällbacka,restaurant,hamnkrog,ChIJKTSWNey1RUYRELop6OU0cKM,5,e3dbee97-fe60-4cea-8e6e-9b70976c200f,Stora Hotellet Fjällbacka,stora-hotellet-fjallbacka,Fjällbacka,restaurant,hamnkrog,ChIJ34MMhsi0RUYR4FOiWdO0dbA,4.4,manuell granskning
0.32,30,a21593c3-8abd-4166-bb80-9ab45aa6741b,Bryggan Fjällbacka,bryggan-fjallbacka-bohuslan,,restaurant,cafe,ChIJy7p8hsi0RUYR6XAUS_XAEsQ,3.9,851c257a-de9a-473e-b616-d9bd970a5220,La Belle Vie Fjällbacka,la-belle-vie-fjallbacka,Fjällbacka,restaurant,hamnkrog,ChIJQWd-L_-1RUYReDRLaZijztA,4.6,manuell granskning
0.32,0,98efe3f4-77eb-404a-8614-0418c47ac263,Marstrand drivmedel,marstrand-drivmedel,Marstrand,fuel,bensin,,,904a3c6a-a861-4faf-ba69-0671af5dc228,Marstrand gästhamn,marstrand-gasthamn,Marstrand,harbor,gasthamn,,,manuell granskning
0.32,148,904a3c6a-a861-4faf-ba69-0671af5dc228,Marstrand gästhamn,marstrand-gasthamn,Marstrand,harbor,gasthamn,,,ca3d16e6-ebdd-428c-8d99-d6061f3c1649,Tenan Marstrand,tenan-marstrand,Marstrand,restaurant,hamnkrog,ChIJi-fO59R9RUYRo9TPFojqt6c,4.2,"behåll B (ca3d16e6…), radera A"
0.32,125,1c128136-d101-4fb4-9556-1affc78af0fa,Smögen gästhamn,smogen-gasthamn,Smögen,harbor,gasthamn,ChIJTT1rLuS7RUYRjxY5mDhZijk,3.7,b2b0544e-dc44-4e78-891d-8e222e76c6da,Smögens Gästgiveri,smogens-gastgiveri,Smögen,restaurant,hamnkrog,ChIJC9LqmOa7RUYRuY5tVzUijTg,4.2,manuell granskning
0.31,151,c33560c8-e1d9-4ae7-8450-4a58bcd3348f,Sandhamns Bageriet,sandhamns-bageriet,Sandhamn,cafe,cafe|bakery|coffee,ChIJ68OHHwV09UYRd9rhpezNJGE,4.2,2b3fc0ce-0ebc-48d9-b302-0e78d29c0996,Sandhamns sjöstation,sandhamns-sjöstation,Sandhamn,fuel,fuel|service_point,ChIJES1TZbN19UYRyDjsZT2oOWU,4.3,manuell granskning
0.31,155,2b3fc0ce-0ebc-48d9-b302-0e78d29c0996,Sandhamns sjöstation,sandhamns-sjöstation,Sandhamn,fuel,fuel|service_point,ChIJES1TZbN19UYRyDjsZT2oOWU,4.3,ba10124b-d115-4390-932f-5a644af4ac28,Sandhamns Vardshus,sandhamns-vardshus,Sandhamn,restaurant,restaurant|breakfast|harbor_stop,,,"behåll A (2b3fc0ce…), radera B"
0.31,148,98efe3f4-77eb-404a-8614-0418c47ac263,Marstrand drivmedel,marstrand-drivmedel,Marstrand,fuel,bensin,,,ca3d16e6-ebdd-428c-8d99-d6061f3c1649,Tenan Marstrand,tenan-marstrand,Marstrand,restaurant,hamnkrog,ChIJi-fO59R9RUYRo9TPFojqt6c,4.2,"behåll B (ca3d16e6…), radera A"
0.31,69,969d90fd-b120-4348-9c6b-d615c5f8733a,Grinda Sea Lodge,grinda-grinda-sea-lodge,Grinda,hotel,accommodation|cabin,ChIJgd-eM0p99UYRSEaeDvtEGwY,3.3,1680a417-dbcd-4ef3-a519-5ad1e48ca8c0,Grinda Sjömack,grinda-sjomack,Grinda,fuel,fuel|service_point,ChIJGZJF5hB99UYR8yBqmFsDp1Q,3.6,manuell granskning
0.31,61,fc5104d3-9228-42d2-9266-b88430ce4c15,Restaurang Telegrafen,restaurang-telegrafen,Grebbestad,restaurant,hamnkrog,ChIJA03Dez1KREYRv1QfZAUF2Yw,4.7,5b96c68b-96ee-40dc-b4a5-4b99d794be7a,Storm Restaurang & Biograf,storm-restaurang-biograf,Grebbestad,restaurant,hamnkrog,ChIJMxzs1xdKREYRDr21ROJVz4U,4.4,manuell granskning
0.31,78,6b5d2a84-7531-41c0-b9f4-b0a31f96749b,Svartsö Handelsbod,svartsö-handelsbod,Svartsö,cafe,cafe|provisions,ChIJNV5mDE5j9UYRutbx_tltuR4,4.8,829f45c3-cb91-490b-a70d-a544a3f7e866,Svartsö Krog,svartso-krog,Svartsö,restaurant,restaurant|hidden_gem|harbor_stop,ChIJQR0b0FFj9UYRgQ1yU0KjXJU,4.4,manuell granskning
0.31,32,2ce8c642-8fe8-4dd5-ac03-1fcb19051f43,Bara Smör Fjällbacka,bara-smor-fjallbacka,Fjällbacka,restaurant,hamnkrog,ChIJKTSWNey1RUYRELop6OU0cKM,5,851c257a-de9a-473e-b616-d9bd970a5220,La Belle Vie Fjällbacka,la-belle-vie-fjallbacka,Fjällbacka,restaurant,hamnkrog,ChIJQWd-L_-1RUYReDRLaZijztA,4.6,manuell granskning
0.31,37,a21593c3-8abd-4166-bb80-9ab45aa6741b,Bryggan Fjällbacka,bryggan-fjallbacka-bohuslan,,restaurant,cafe,ChIJy7p8hsi0RUYR6XAUS_XAEsQ,3.9,e3dbee97-fe60-4cea-8e6e-9b70976c200f,Stora Hotellet Fjällbacka,stora-hotellet-fjallbacka,Fjällbacka,restaurant,hamnkrog,ChIJ34MMhsi0RUYR4FOiWdO0dbA,4.4,manuell granskning
0.31,56,acc49beb-b1ae-40ca-86e3-b57a7669ceda,Restaurang Macri,restaurang-macri,Grebbestad,restaurant,hamnkrog,ChIJ5RKgJxhKREYRkH9loU_Mu_w,4,6184587b-27c1-4970-80cd-fa88effc548d,"Restaurang Q skär, Grebbestad",restaurang-q-skar-grebbestad,Grebbestad,restaurant,hamnkrog,ChIJJctW-D5KREYR_SSkTwaDDoE,4,manuell granskning
0.30,61,8457d36a-e807-4855-a678-f61bfdc7c074,Bakgården Utö,bakgarden-uto,Utö,cafe,cafe|hidden_gem|coffee,ChIJtdXqPzmL9UYRpfQ6v-B8wZA,4.6,f535e46d-137a-4bb4-a0ef-2f6acf256bc4,Hamnboden Utö,hamnboden-uto,Utö,restaurant,provisions|harbor_stop,,,"behåll A (8457d36a…), radera B"
0.30,61,14ad0ad2-5ffd-46bc-99dd-aab75a3a7d62,Dalarö Krog,dalaro-krog,Dalarö,restaurant,restaurant|harbor_stop|lunch_stop,ChIJf90OImCG9UYRhEp2MvpXYvs,4.6,7fb6ce90-2100-437e-b714-b8f3a81db226,Dalarö Värdshus,dalaro-vardshus,Dalarö,restaurant,restaurant|dinner_stop,ChIJM27uYGCG9UYROQER_h5hrhQ,4.1,manuell granskning
0.30,94,ac52702a-f629-43d4-97ba-91f3fdeeb58a,Hamncafét Möja,hamncafet-moja,Möja,cafe,cafe|coffee|family_stop,,,87b9a788-cf09-4c3f-96e1-9cf5d9e15247,Möja Hamnbar,moja-hamnbar,Möja,bar,bar|harbor_stop|sunset_stop,ChIJpWMdFc9v9UYRBgIPaFje19s,3.9,"behåll B (87b9a788…), radera A"
0.30,63,2588baa1-572b-4d9b-bcbf-cd89e1682b04,Nynashamn Marinbransle,nynashamn-marinbransle,Nynashamn,fuel_station,fuel|marina|provisioning,ChIJk7Garp1eX0YRgVZS7VIhffM,3.8,d9ec9ed4-07ef-49f6-90ee-ac832458f1d6,Nynashamns Gasthamn,nynashamns-gasthamn,Nynashamn,marina,marina|harbor_stop|provisioning,ChIJIyakVJxeX0YRsOmGxLOSyRA,4.3,manuell granskning
0.30,182,2dab7f89-0677-4d6f-8967-0446aaf882d1,Johans Krog,johans-krog,Marstrand,restaurant,hamnkrog,ChIJcxN_49R9RUYReD2SXX8wmqo,4.4,39000738-60af-4680-a5ef-4a764774460c,Lasses Krog,lasses-krog,Klädesholmen,restaurant,hamnkrog,ChIJm5_DYtR9RUYRWD1N8oCeQ-w,3.9,manuell granskning
0.30,0,3d8409e0-ab1d-4de8-b280-b1898ba23d8d,Käringön gästhamn,karingon-gasthamn,Käringön,harbor,gasthamn,,,aa1809fc-77ef-47cd-89df-929e8d5d6d60,Käringön Pensionat,karingon-pensionat,Käringön,restaurant,hamnkrog,,,manuell granskning
0.30,95,57513732-6c37-4a76-9126-ed19bbc54d4c,Öckerö Hamn & Fiskareförening,ockero-hamn-fiskareforening,Öckerö,harbor,gasthamn,ChIJjfJMgHyPT0YRv4qKFUhDau0,4.3,56246205-8b02-4b82-85ab-3f61170cbe92,Öckerö Hamncafé,ockero-hamncaf,Öckerö,restaurant,hamnkrog,ChIJCxUeVISPT0YR0XU1QeqC_L4,4.3,manuell granskning
0.29,49,57513732-6c37-4a76-9126-ed19bbc54d4c,Öckerö Hamn & Fiskareförening,ockero-hamn-fiskareforening,Öckerö,harbor,gasthamn,ChIJjfJMgHyPT0YRv4qKFUhDau0,4.3,8cf32cd2-4e3d-4b2a-9fa3-9f65eb9348d3,Öckerö hamn drivmedel,ockero-hamn-drivmedel,Öckerö,fuel,bensin,ChIJWZgyaPePT0YR4qykgeQXTzI,4.5,manuell granskning
0.26,49,703de073-1be8-46d4-b7f1-4330cc6bfaa2,Öckerö gästhamn,ockero-gasthamn,Öckerö,harbor,gasthamn,,,57513732-6c37-4a76-9126-ed19bbc54d4c,Öckerö Hamn & Fiskareförening,ockero-hamn-fiskareforening,Öckerö,harbor,gasthamn,ChIJjfJMgHyPT0YRv4qKFUhDau0,4.3,"behåll B (57513732…), radera A"
